number,name
0834,Coronado Center
0835,Oglethorpe Mall
0840,Ross Park Mall
0842,Inland Center
0844,Great Lakes Crossing Outlets
0845,Place d'Orleans
0846,Regent Mall
0847,Walden Galleria
0849,Fashion Centre at Pentagon City
0851,Towson Town Center
0855,WestShore Plaza
0856,Kingston Collection
0858,Wiregrass Commons
0865,Stonestown Galleria
0869,Citrus Park
0870,St. Charles Towne Center
0876,Shoppers World Brampton
0877,Niagara Pen Centre
0878,Smith Haven Mall
0880,Scottsdale Quarter
0881,Columbiana Centre
0882,Cherry Creek Shopping Center
0883,Erin Mills Town Centre
0887,Four Seasons Town Centre
0888,The Shoppes at Buckland Hills
0889,Poughkeepsie Galleria
0896,Santa Maria Town Center
0897,Sunrise Mall (CA)
0898,Concord Mills
0904,Los Cerritos Center
0906,Dover Mall
0909,Carolina Place
0910,La Plaza
0912,St. Vital Centre
0913,The Shops at Pickering City Centre
0919,Ala Moana Center
0932,Superstition Springs Center
0937,New Sudbury Centre
0943,The Centre at Salisbury
0945,The Mall at Green Hills
0946,Battlefield Mall
0955,Gurnee Mills
0956,Grand Teton Mall
0957,Cleveland Mall
0958,Providence Place
0959,Stonewood Center
0960,Kildonan Place
0962,The Woodlands Mall
0964,The Oaks Mall
0966,Ridgedale Center
0972,Dayton Mall
0975,Clackamas Town Center
0978,Intercity Shopping Centre
0980,The Falls
0981,Plaza Frontenac
0987,Genesee Valley Center
0988,The Westchester
0990,Conestoga Mall
0994,South Plains Mall
0997,Southdale Center
1004,Arrowhead Towne Center
1006,The Shops at Montebello
1008,The Mall at Stonecrest
1009,Del Amo Fashion Center
1012,Santa Rosa Plaza
1017,Galleria at Tyler
1018,Brea Mall
1019,Arden Fair
1020,Weberstown Mall
1023,Glendale Galleria
1024,Grant Park Shopping Centre
1027,Cedar Hills Crossing
1032,Southern Hills Mall
1033,Hawthorn
1036,Market Place Shopping Center
1038,Louis-Joliet
1039,Fox Valley
1062,Walt Whitman Shops
1069,Logan Valley Mall
1074,Woodland Hills Mall
1078,Manassas Mall
1079,Patrick Henry Mall
1080,Westfield Southcenter
1084,Mayfair Mall
1098,Greenwood Mall (KY)
1100,FlatIron Crossing
1103,Saint Louis Galleria
1105,Colony Square Mall
1110,Westfield Old Orchard
1111,Quail Springs Mall
1112,Park City Center
1114,The Empire Mall
1117,Midland Park Mall
1118,SouthPark
1119,Cielo Vista Mall
1126,Columbia Mall
1127,Fox River Mall
1128,Pritchard Park Mall
1134,The Lakes
1138,Colorado Mills
1143,Chandler Fashion Center
1144,Short Pump Town Center
1149,Northlake Mall
1155,Layton Hills Mall
1168,The Shops at La Cantera
1172,Auburn Mall (AL)
1178,Apache Mall
1179,Birchwood Mall
1180,Bellis Fair
1181,Boise Towne Square
1182,Brass Mill Center
1183,Chapel Hills Mall
1188,Grand Traverse Mall
1189,Jordan Creek Town Center
1190,Lakeland Square
1191,Mall of Louisiana
1196,Oakwood Mall
1197,Otay Ranch Town Center
1198,The Parks at Arlington
1199,Pembroke Lakes Mall
1201,River Hills Mall
1204,Spokane Valley Mall
1206,The Crossroads
1208,Tysons Galleria
1210,First Colony Mall
1211,Moreno Valley Mall
1213,Stonebriar Centre
1214,West Valley Mall
1225,Silver Lake Mall
1230,The Shops at Wiregrass
1232,McAllister Place
1233,Hillside Village
1237,Decatur Mall
1242,Bayshore Mall
1250,White Mountain
1255,Bay Park Square
1258,City Creek Center
1260,Victoria Gardens
1261,Galleria at Sunset
1262,Promenade Temecula
1263,South Bay Galleria
1264,Mount Berry Square
1265,The Mall at Whitney Field
1273,Heritage Mall
1275,Stone Road Mall
1276,The Shops at Ithaca Mall
1293,The Mall at University Town Center
1297,Northwest Arkansas Mall
1310,Mt. Shasta Mall
1314,Irvine Spectrum Center
1315,Peter Pond Mall
1316,The Mall of San Juan
1328,Galleria at Pittsburgh Mills
1329,Uptown Christiansburg
1333,The Mall at Partridge Creek
1335,Great Lakes Mall
1340,International Market Place
1342,Anchorage 5th Avenue Mall
1346,Blue Ridge Mall
1347,Boynton Beach Mall
1348,Bradley Square Mall
1350,Cape Cod Mall
1351,Castleton Square
1355,College Mall
1356,Columbia Center
1357,Cottonwood Mall (NM)
1360,Emerald Square
1362,The Fashion Mall at Keystone
1363,Firewheel Town Center
1364,The Florida Mall
1367,Station Mall
1372,Greenwood Park Mall
1373,Hamilton Town Center
1377,LaGrange Mall
1378,Lake City Mall
1380,Lima Mall
1383,The Mall at Rockingham Park
1385,Mall of Georgia
1388,Melbourne Square
1390,Miami International Mall
1392,Morgantown Mall
1393,New Bern Mall
1394,North Georgia Premium Outlets
1396,Northshore Mall
1398,Orland Square
1402,Pier Park
1404,Port Charlotte Town Center
1405,Prien Lake Mall
1408,River Oaks Center
1409,River Park Square
1410,Round Rock Premium Outlets
1413,The Shops at Riverside
1414,Sierra Vista Mall
1415,Solomon Pond Mall
1417,Square One Mall
1418,St. Johns Town Center
1419,Statesboro Mall
1420,Summit Mall
1421,Sumter Mall
1422,Tacoma Mall
1423,The Avenues
1424,The Domain
1425,The Shops at Chestnut Hill
1426,The Mall at Fairfield Commons
1427,The Mills at Jersey Gardens
1428,The Outlet Collection Seattle
1431,Towne East Square
1432,Treasure Coast Square
1433,University Mall (VT)
1436,White Oaks Mall
1437,Wolfchase Galleria
1439,The Shops at Kenilworth
1443,Arizona Mills
1445,Quintard Mall
1454,Arnot Mall
1456,Georgetown Marketplace
1472,The Albion Centre
1478,Jackson Crossing
1480,Biltmore Fashion Park
1484,Cross County Center
1485,Desert Sky Mall
1486,Eastridge Mall (WY)
1487,Fashion Outlets of Chicago
1488,Fashion Outlets of Niagara Falls
1489,Westfield Fashion Square
1491,Fresno Fashion Fair
1494,Kierland Commons
1499,Meadows Mall
1503,North Star Mall
1504,Oakbrook Center
1509,Pinnacle Hills Promenade
1511,Red Cliffs Mall
1513,SanTan Village Regional Center
1514,Scottsdale Fashion Square
1517,The Greene Town Center
1518,The Mall at Bay Plaza
1522,Demo Location
1524,The Streets at Southpoint
1526,University Mall (IL)
1531,Eastland Mall (IN)
1532,NorthPark Mall (IA)
1533,NorthTown Mall (WA)
1535,Valley Mall (VA)
1536,Florence Mall (KY)
1537,Liberty Center
1538,Garden City Shopping Centre
1547,American Dream
1553,Highstreet
1554,Perkins Rowe
1555,Milton Mall
1565,Tanger Cookstown
1567,Macy's Herald Square
1568,Macy's State Street
1570,Pacific City
1572,Timmins Square
1573,Alamo Quarry Market
1574,Medicine Hat Mall
1575,Orchard Park
1576,Park Place (AB)
1578,Sherwood Park
1579,St. Albert Centre
1583,Southlands
1597,Palladio
1600,Philadelphia Premium Outlets
1601,Charlotte Premium Outlets
1603,Grapevine Vintage RR - Santa's North Pole Express
1619,Village Green Shopping Centre
1620,Brickell City Centre
1622,Natick Mall - Traditional Santa Photos (Not Elevator Express)
1624,Bella Terra
1625,The Sono Collection
1626,Hamburg Pavilion
1627,Westbrook Mall
1628,Londonderry Mall
404201,Navy Pier
437201,USS Midway Jingle Jets
531301,VAQ - Character
541301,Phoenix Zoo
630301,San Antonio Zoo
650301,Ronald Reagan Presidential Library & Museum
681201,South Carolina Aquarium
688301,Audubon Aquarium
689201,Tower of the Americas
691101,Florida Aquarium
710301,Mystic Aquarium
730001,Nauticus' Winterfest on the Wisconsin
742201,Seattle Aquarium
742501,Skydeck Chicago
760101,JAZ - Character
